category,question,expected_sources,returned_sources,any_hit@7,all_expected@7,source_recall,first_relevant_rank,reciprocal_rank
Ransomware profile,Why are ransomware attacks especially disruptive to business operations?,nist_ir_8374r1,"nist_ir_8374r1, cisa_stop_ransomware, nist_sp_800_61r3",True,True,1.0,1,1.0
Ransomware profile,How does the ransomware community profile use CSF 2.0 outcomes?,nist_ir_8374r1,"nist_ir_8374r1, nist_csf_2_0, nist_sp_800_61r3, cisa_stop_ransomware",True,True,1.0,1,1.0
Ransomware profile,What backup and restoration practices support ransomware recovery?,nist_ir_8374r1,"cisa_stop_ransomware, nist_ir_8374r1, nist_csf_2_0, nist_sp_800_61r3",True,True,1.0,2,0.5
Ransomware profile,"Why should ransomware roles, authorities, and decision makers be identified in advance?",nist_ir_8374r1,"nist_ir_8374r1, cisa_stop_ransomware, nist_sp_800_61r3, nist_sp_800_30r1",True,True,1.0,1,1.0
Cross-document,How can zero trust and least privilege make ransomware harder to spread?,"nist_ir_8374r1, nist_sp_800_207","nist_ir_8374r1, cisa_stop_ransomware, nist_sp_800_61r3, nist_sp_800_207",True,True,1.0,1,1.0
CISA ransomware,"Why should ransomware backups be offline, encrypted, and regularly tested?",cisa_stop_ransomware,"cisa_stop_ransomware, nist_ir_8374r1, nist_sp_800_61r3",True,True,1.0,1,1.0
CISA ransomware,What should a ransomware incident response and communications plan contain?,cisa_stop_ransomware,"cisa_stop_ransomware, nist_ir_8374r1, nist_sp_800_61r3",True,True,1.0,1,1.0
CISA ransomware,How should organizations reduce risks from internet-facing vulnerabilities and exposed remote services?,cisa_stop_ransomware,"cisa_stop_ransomware, nist_sp_800_30r1, nist_csf_2_0, nist_sp_800_61r3",True,True,1.0,1,1.0
CISA ransomware,What controls does CISA recommend for compromised credentials and administrator accounts?,cisa_stop_ransomware,"cisa_stop_ransomware, nist_sp_800_207, nist_ir_8374r1, nist_sp_800_61r3",True,True,1.0,1,1.0
CISA ransomware,What phishing defenses are recommended in the StopRansomware Guide?,cisa_stop_ransomware,"cisa_stop_ransomware, nist_ir_8374r1, nist_sp_800_30r1, nist_sp_800_207",True,True,1.0,1,1.0
CISA ransomware,What immediate isolation actions should be considered after ransomware is detected?,cisa_stop_ransomware,"nist_ir_8374r1, cisa_stop_ransomware, nist_sp_800_207, nist_sp_800_61r3, nist_csf_2_0",True,True,1.0,2,0.5
Cross-document,Compare the NIST ransomware community profile with the CISA StopRansomware Guide.,"cisa_stop_ransomware, nist_ir_8374r1","cisa_stop_ransomware, nist_ir_8374r1, nist_sp_800_61r3, nist_csf_2_0",True,True,1.0,1,1.0
Cross-document,How do zero trust principles support ransomware prevention and containment?,"cisa_stop_ransomware, nist_ir_8374r1, nist_sp_800_207","cisa_stop_ransomware, nist_ir_8374r1, nist_sp_800_61r3, nist_sp_800_207",True,True,1.0,1,1.0
Cross-document,"How do CSF 2.0 and SP 800-61r3 organize incident preparation, detection, response, and recovery?","nist_csf_2_0, nist_sp_800_61r3","nist_sp_800_61r3, nist_csf_2_0, nist_ir_8374r1",True,True,1.0,1,1.0
Cross-document,How can risk assessment findings inform ransomware preparation and recovery priorities?,"nist_ir_8374r1, nist_sp_800_30r1","nist_ir_8374r1, nist_sp_800_61r3, cisa_stop_ransomware, nist_csf_2_0",True,False,0.5,1,1.0
